"","V1","V2"
"1",56,-4.21156463140978
"2",6,6.38437363112507
"3",39,1.48968176701605
"4",4,3.09207514414807
"5",41,7.08987096700541
"6",42,-6.01497344489716
"7",1,1.21169048592533
"8",11,-0.19505718886262
"9",12,5.37663565542
"10",13,3.02423326076108
"11",14,2.39110619934879
"12",15,2.48289551866049
"13",16,1.83884349219019
"14",17,-0.0284991322943705
"15",2,3.74940653752473
"16",21,7.43153089906584
"17",22,3.9991137173765
"18",23,-1.53740115764336
"19",24,3.26632942960015
"20",25,-5.9957357603261
"21",28,-2.38110993515832
"22",29,-5.88855125418339
"23",3,-1.37828307568999
"24",33,0.35738317317186
"25",10,-1.07645718560373
"26",8,7.345567967857
"27",32,5.41230692544277
"28",43,-4.8933199507147
"29",44,-1.04986546126979
"30",46,1.20530382404947
"31",47,-5.18391263605692
"32",49,-5.26248612232059
"33",5,0.0534818145856603
"34",51,-2.35221088045228
"35",52,3.43894067721751
"36",53,-7.03708763805859
"37",54,-11.8914146216821
"38",55,0.635882796804278
"39",61,-2.5833228638868
"40",64,-2.126858651978
"41",65,2.7944351360796
"42",68,-4.73185098046204
"43",69,-3.84106040104033
"44",7,2.51908639470194
"45",70,-2.64300087835798
"46",71,-1.56307331003964
"47",72,-2.56794636725759
"48",74,-3.18839589271807
"49",75,0.00296128679650301
"50",76,4.2961457518011
"51",77,4.46130837776687
"52",9,-0.776554701174884
"53",35,-9.28900250792135
"54",36,1.5978394860028
"55",37,-5.12127715870944
"56",38,-3.48086997192898
"57",40,-3.80530337244697
"58",18,3.69896729832949
"59",19,4.27154591471904
"60",20,6.9247398098901
"61",26,-5.32916713904698
"62",27,-1.51372678442303
"63",30,7.40604703885154
"64",31,5.63060711573051
"65",34,-1.93792139180369
"66",45,-2.14521834016904
"67",48,-1.08790764788142
"68",50,-6.16413849952841
"69",57,4.30631056328388
"70",58,5.31015554090914
"71",59,2.35153939266049
"72",60,1.63183868395681
"73",62,2.2815577205545
"74",63,2.70032526712731
"75",66,0.652432435678902
"76",67,-0.0557294638508787
"77",73,-3.78424069788746
