"","","housingIndex"
"1",56,-1.02806434139933
"2",6,-0.464403268040254
"3",39,-1.25890597183785
"4",4,-0.943245756785858
"5",41,-0.92953614821336
"6",42,-1.12314291528924
"7",1,0.312584733441751
"8",11,-1.04504583204438
"9",12,-1.61188991886425
"10",13,-0.586812190463401
"11",14,1.68728565818468
"12",15,-0.444238763934418
"13",16,0.153118684879479
"14",17,-0.322096447346545
"15",2,0.428005548661011
"16",21,2.19009774477922
"17",22,1.51809283201653
"18",23,2.28455423838682
"19",24,0.258634985269337
"20",25,1.1240689278844
"21",28,2.56369053897024
"22",29,1.24621124447227
"23",3,3.26983617024654
"24",33,-1.02797547278757
"25",10,-1.32338231512197
"26",8,2.31259553581412
"27",32,2.77772841598723
"28",43,-0.355881691413122
"29",44,-0.308386838774047
"30",46,-0.634395911714234
"31",47,0.0682112316542474
"32",49,-0.878680544889979
"33",5,-1.78497670738726
"34",51,-0.780330088927523
"35",52,-0.0641910742100594
"36",53,-1.01453247005035
"37",54,-0.335717187307285
"38",55,-1.01453247005035
"39",61,1.54126261235964
"40",64,-1.17744813790869
"41",65,-0.335717187307285
"42",68,-0.525696597863585
"43",69,-0.800672330256875
"44",7,-0.678263407833729
"45",70,-0.780330088927523
"46",71,-0.206586763515527
"47",72,-1.66619514148369
"48",74,-1.63904253017397
"49",75,-1.69334775279341
"50",76,1.18536225770773
"51",77,-0.444238763934418
"52",9,-1.61188991886425
"53",35,-1.37768753774142
"54",36,-1.5575846962448
"55",37,-0.026600736400387
"56",38,-0.970398368095581
"57",40,-0.39002240992673
"58",18,0.288792872816334
"59",19,1.19844978599792
"60",20,0.00709563905443233
"61",26,1.34792245111903
"62",27,1.06622521735713
"63",30,2.48143288753525
"64",31,3.69720097538646
"65",34,0.255007628749757
"66",45,-1.48629798298031
"67",48,-1.34036380576702
"68",50,-1.50327947362536
"69",57,0.397403318055225
"70",58,1.99940738532886
"71",59,0.0444193710288311
"72",60,-0.512164726514603
"73",62,1.14750531406278
"74",63,2.55608035148405
"75",66,0.594370835815411
"76",67,-0.386572790630666
"77",73,-1.61188991886425
